id,value,x,y
0,1,5,5
1,1,10,10
2,1,0,10
3,1,15,15
4,2,5,15
5,1,-5,15
6,1,20,20
7,3,10,20
8,3,0,20
9,1,-10,20
10,1,25,25
11,4,15,25
12,6,5,25
13,4,-5,25
14,1,-15,25
15,1,30,30
16,5,20,30
17,10,10,30
18,10,0,30
19,5,-10,30
20,1,-20,30
21,1,35,35
22,6,25,35
23,15,15,35
24,20,5,35
25,15,-5,35
26,6,-15,35
27,1,-25,35
28,1,40,40
29,7,30,40
30,21,20,40
31,35,10,40
32,35,0,40
33,21,-10,40
34,7,-20,40
35,1,-30,40
36,1,45,45
37,8,35,45
38,28,25,45
39,56,15,45
40,70,5,45
41,56,-5,45
42,28,-15,45
43,8,-25,45
44,1,-35,45
45,1,50,50
46,9,40,50
47,36,30,50
48,84,20,50
49,126,10,50
50,126,0,50
51,84,-10,50
52,36,-20,50
53,9,-30,50
54,1,-40,50
55,1,55,55
56,10,45,55
57,45,35,55
58,120,25,55
59,210,15,55
60,252,5,55
61,210,-5,55
62,120,-15,55
63,45,-25,55
64,10,-35,55
65,1,-45,55
66,1,60,60
67,11,50,60
68,55,40,60
69,165,30,60
70,330,20,60
71,462,10,60
72,462,0,60
73,330,-10,60
74,165,-20,60
75,55,-30,60
76,11,-40,60
77,1,-50,60
78,1,65,65
79,12,55,65
80,66,45,65
81,220,35,65
82,495,25,65
83,792,15,65
84,924,5,65
85,792,-5,65
86,495,-15,65
87,220,-25,65
88,66,-35,65
89,12,-45,65
90,1,-55,65
91,1,70,70
92,13,60,70
93,78,50,70
94,286,40,70
95,715,30,70
96,1287,20,70
97,1716,10,70
98,1716,0,70
99,1287,-10,70
100,715,-20,70
101,286,-30,70
102,78,-40,70
103,13,-50,70
104,1,-60,70
105,1,75,75
106,14,65,75
107,91,55,75
108,364,45,75
109,1001,35,75
110,2002,25,75
111,3003,15,75
112,3432,5,75
113,3003,-5,75
114,2002,-15,75
115,1001,-25,75
116,364,-35,75
117,91,-45,75
118,14,-55,75
119,1,-65,75
120,1,80,80
121,15,70,80
122,105,60,80
123,455,50,80
124,1365,40,80
125,3003,30,80
126,5005,20,80
127,6435,10,80
128,6435,0,80
129,5005,-10,80
130,3003,-20,80
131,1365,-30,80
132,455,-40,80
133,105,-50,80
134,15,-60,80
135,1,-70,80
136,1,85,85
137,16,75,85
138,120,65,85
139,560,55,85
140,1820,45,85
141,4368,35,85
142,8008,25,85
143,11440,15,85
144,12870,5,85
145,11440,-5,85
146,8008,-15,85
147,4368,-25,85
148,1820,-35,85
149,560,-45,85
150,120,-55,85
151,16,-65,85
152,1,-75,85
153,1,90,90
